,Date,Envi,Fuji,Gala,type,region
0,27/12/2015,1037,54455,48,conventional,Spain
1,20/12/2015,674,44639,58,conventional,Spain
2,13/12/2015,795,109150,131,conventional,Spain
3,6/12/2015,1132,71976,73,conventional,Spain
4,29/11/2015,941,43838,76,conventional,Spain
5,22/11/2015,1184,48068,44,conventional,Spain
6,15/11/2015,1369,73673,93,conventional,Spain
7,8/11/2015,704,101815,80,conventional,Spain
8,1/11/2015,1022,87316,85,conventional,Spain
9,25/10/2015,842,64757,113,conventional,Spain
10,18/10/2015,925,75596,117,conventional,Spain
11,11/10/2015,1582,52678,105,conventional,Spain
12,4/10/2015,2268,49881,101,conventional,Spain
13,27/9/2015,1205,99409,155,conventional,Spain
14,20/9/2015,1028,59313,151,conventional,Spain
15,13/9/2015,986,65697,142,conventional,Spain
16,6/9/2015,879,90063,241,conventional,Spain
17,30/8/2015,689,94363,335,conventional,Spain
18,23/8/2015,733,67934,445,conventional,Spain
19,16/8/2015,540,68666,395,conventional,Spain
20,9/8/2015,585,100961,369,conventional,Spain
21,2/8/2015,510,62035,741,conventional,Spain
22,26/7/2015,649,91949,967,conventional,Spain
23,19/7/2015,1042,82049,2238,conventional,Spain
24,12/7/2015,672,94694,4258,conventional,Spain
25,5/7/2015,869,72601,5883,conventional,Spain
26,28/6/2015,664,57546,4663,conventional,Spain
27,21/6/2015,804,76689,5481,conventional,Spain
28,14/6/2015,851,55401,4377,conventional,Spain
29,7/6/2015,657,99221,90,conventional,Spain
30,31/5/2015,922,70470,51,conventional,Spain
31,24/5/2015,680,71377,59,conventional,Spain
32,17/5/2015,1151,81955,94,conventional,Spain
33,10/5/2015,1420,102001,186,conventional,Spain
34,3/5/2015,920,45490,217,conventional,Spain
35,26/4/2015,876,35842,90,conventional,Spain
36,19/4/2015,774,33942,47,conventional,Spain
37,12/4/2015,864,30374,22,conventional,Spain
38,5/4/2015,962,35578,94,conventional,Spain
39,29/3/2015,1402,58623,90,conventional,Spain
40,22/3/2015,2142,34314,142,conventional,Spain
41,15/3/2015,2128,30447,100,conventional,Spain
42,8/3/2015,796,30371,159,conventional,Spain
43,1/3/2015,629,45633,181,conventional,Spain
44,22/2/2015,1088,35056,151,conventional,Spain
45,15/2/2015,987,30046,222,conventional,Spain
46,8/2/2015,1357,39112,163,conventional,Spain
47,1/2/2015,1354,60017,179,conventional,Spain
48,25/1/2015,941,33196,164,conventional,Spain
49,18/1/2015,914,31540,136,conventional,Spain
50,11/1/2015,1003,31640,127,conventional,Spain
51,4/1/2015,2820,28287,50,conventional,Spain
0,27/12/2015,292097,27351,298,conventional,China
1,20/12/2015,251774,20702,103,conventional,China
2,13/12/2015,324932,31019,276,conventional,China
3,6/12/2015,283024,23741,182,conventional,China
4,29/11/2015,250289,28890,308,conventional,China
5,22/11/2015,269799,29732,501,conventional,China
6,15/11/2015,263916,28442,456,conventional,China
7,8/11/2015,250441,34483,488,conventional,China
8,1/11/2015,290458,62980,253,conventional,China
9,25/10/2015,236814,64608,304,conventional,China
10,18/10/2015,228710,59732,291,conventional,China
11,11/10/2015,255933,91047,600,conventional,China
12,4/10/2015,265797,92780,644,conventional,China
13,27/9/2015,262107,61871,681,conventional,China
14,20/9/2015,346119,82763,1349,conventional,China
15,13/9/2015,278048,62486,715,conventional,China
16,6/9/2015,303113,73676,911,conventional,China
17,30/8/2015,275818,44839,1034,conventional,China
18,23/8/2015,274462,46224,950,conventional,China
19,16/8/2015,362580,41992,1425,conventional,China
20,9/8/2015,385028,47040,4252,conventional,China
21,2/8/2015,306588,41907,3515,conventional,China
22,26/7/2015,335372,44087,708,conventional,China
23,19/7/2015,446100,47838,1982,conventional,China
24,12/7/2015,310080,37953,867,conventional,China
25,5/7/2015,436378,54675,849,conventional,China
26,28/6/2015,331353,37699,817,conventional,China
27,21/6/2015,449311,30232,678,conventional,China
28,14/6/2015,386371,17701,472,conventional,China
29,7/6/2015,455566,22414,739,conventional,China
30,31/5/2015,382901,19543,523,conventional,China
31,24/5/2015,538127,27284,1261,conventional,China
32,17/5/2015,386401,18619,839,conventional,China
33,10/5/2015,413453,18861,1089,conventional,China
34,3/5/2015,538403,28568,1060,conventional,China
35,26/4/2015,387677,18366,1042,conventional,China
36,19/4/2015,368710,18041,873,conventional,China
37,12/4/2015,377578,22420,219,conventional,China
38,5/4/2015,318473,19254,375,conventional,China
39,29/3/2015,305029,16652,261,conventional,China
40,22/3/2015,393591,23420,305,conventional,China
41,15/3/2015,336172,16508,311,conventional,China
42,8/3/2015,361559,15789,237,conventional,China
43,1/3/2015,441544,21184,348,conventional,China
44,22/2/2015,369316,18325,237,conventional,China
45,15/2/2015,364447,17420,638,conventional,China
46,8/2/2015,377256,17163,525,conventional,China
47,1/2/2015,553199,31583,295,conventional,China
48,25/1/2015,393408,18718,594,conventional,China
49,18/1/2015,372237,18702,512,conventional,China
50,11/1/2015,330411,18958,1135,conventional,China
51,4/1/2015,364302,23821,82,conventional,China
0,27/12/2015,40450,394104,17354,conventional,USA
1,20/12/2015,44741,434591,19112,conventional,USA
2,13/12/2015,44400,399852,24291,conventional,USA
3,6/12/2015,51129,453587,25760,conventional,USA
4,29/11/2015,41028,379156,20148,conventional,USA
5,22/11/2015,40868,386138,23343,conventional,USA
6,15/11/2015,47110,503470,37990,conventional,USA
7,8/11/2015,58579,576513,51035,conventional,USA
8,1/11/2015,51860,473819,58616,conventional,USA
9,25/10/2015,53766,397911,49086,conventional,USA
10,18/10/2015,59122,745385,49171,conventional,USA
11,11/10/2015,34707,392009,58490,conventional,USA
12,4/10/2015,35342,407610,42258,conventional,USA
13,27/9/2015,34309,451061,59019,conventional,USA
14,20/9/2015,39620,450283,45336,conventional,USA
15,13/9/2015,55699,675524,42270,conventional,USA
16,6/9/2015,63904,522568,68180,conventional,USA
17,30/8/2015,48455,458207,42754,conventional,USA
18,23/8/2015,59242,499100,47216,conventional,USA
19,16/8/2015,86492,597185,43103,conventional,USA
20,9/8/2015,56363,557364,42934,conventional,USA
21,2/8/2015,53958,535167,44750,conventional,USA
22,26/7/2015,52746,496509,45011,conventional,USA
23,19/7/2015,52955,496206,50320,conventional,USA
24,12/7/2015,58828,547537,50679,conventional,USA
25,5/7/2015,66505,567641,56045,conventional,USA
26,28/6/2015,65052,534535,51110,conventional,USA
