Date,Envi,Fuji,Gala
2015-01-04,117454,429518,5554
2015-01-11,110974,427723,5358
2015-01-18,151977,500684,4225
2015-01-25,140914,422435,4945
2015-02-01,217716,608156,5736
2015-02-08,153584,466313,5421
2015-02-15,116908,404107,7798
2015-02-22,153410,584094,5686
2015-03-01,101528,487874,5507
2015-03-08,118578,491584,7265
2015-03-15,160422,403061,5122
2015-03-22,131882,380285,8461
2015-03-29,160679,371990,4760
2015-04-05,156967,396450,6309
2015-04-12,176304,574793,8604
2015-04-19,129744,544167,6232
2015-04-26,160372,381779,5981
2015-05-03,182975,485743,14810
2015-05-10,148763,454026,16724
2015-05-17,156010,305201,17378
2015-05-24,198187,369924,18818
2015-05-31,127748,365471,18725
2015-06-07,167992,439309,17507
2015-06-14,194447,401133,17694
2015-06-21,184206,405470,12854
2015-06-28,162886,362226,18450
2015-07-05,146171,428389,19547
2015-07-12,123673,423853,22068
2015-07-19,119266,513055,17089
2015-07-26,138943,376355,25778
2015-08-02,153499,423520,16711
2015-08-09,131770,377129,24026
2015-08-16,157630,348864,18155
2015-08-23,135262,318116,21420
2015-08-30,119850,421032,19354
2015-09-06,138155,420366,19091
2015-09-13,115936,451936,17939
2015-09-20,85382,461273,25530
2015-09-27,119090,386987,15286
2015-10-04,101712,364774,27622
2015-10-11,108539,432102,18841
2015-10-18,117059,435492,13693
2015-10-25,106239,393921,11222
2015-11-01,140330,446008,8551
2015-11-08,113965,354455,12294
2015-11-15,98270,428999,20029
2015-11-22,100048,323797,18216
2015-11-29,85241,179982,14146
2015-12-06,111259,378124,8808
2015-12-13,96222,321764,29349
2015-12-20,113404,188263,24478
2015-12-27,93034,246747,19104
2016-01-03,114122,526049,10375
2016-01-10,146631,366331,37684
2016-01-17,118600,403010,31010
2016-01-24,25727,404617,15455
2016-01-31,167669,270482,27490
2016-02-07,230722,557897,18935
2016-02-14,178547,277085,17993
2016-02-21,155250,331998,14973
2016-02-28,118100,300336,62908
2016-03-06,145894,242906,18706
2016-03-13,158017,261686,33866
2016-03-20,138939,360370,10951
2016-03-27,150919,208644,20424
2016-04-03,153222,209188,25632
2016-04-10,127375,353041,11021
2016-04-17,171832,285968,27996
2016-04-24,132551,225789,11419
2016-05-01,153152,261525,15299
2016-05-08,181355,427697,13291
2016-05-15,159349,252574,39118
2016-05-22,160299,266856,17526
2016-05-29,181471,282618,33023
2016-06-05,184535,326967,16486
2016-06-12,179534,242834,19839
2016-06-19,188106,224899,20738
2016-06-26,165859,229713,17278
2016-07-03,170576,256861,21307
2016-07-10,190377,230362,20484
2016-07-17,145159,204309,19017
2016-07-24,128025,187555,19241
2016-07-31,144731,178801,19083
2016-08-07,168010,183569,18625
2016-08-14,120450,189114,19583
2016-08-21,150776,190695,13733
2016-08-28,138029,282568,13197
2016-09-04,146922,254464,17240
2016-09-11,112292,227729,14433
2016-09-18,134608,198214,16329
2016-09-25,135132,168060,16829
2016-10-02,124505,172836,16448
2016-10-09,149622,240858,13026
2016-10-16,129257,156075,16490
2016-10-23,100520,166316,19087
2016-10-30,99370,239345,16411
2016-11-06,110498,148423,18859
2016-11-13,133529,197035,16010
2016-11-20,94900,146401,15291
2016-11-27,86312,131941,14113
2016-12-04,129941,277375,11513
2016-12-11,110203,219904,11428
2016-12-18,116070,232183,10972
2016-12-25,123942,206365,15600
2017-01-01,138364,336468,12664
2017-01-08,169104,249168,16471
2017-01-15,147752,212523,18135
2017-01-22,149313,268030,13355
2017-01-29,172615,214812,14726
2017-02-05,239164,502457,14681
2017-02-12,204918,291658,14707
2017-02-19,153258,254319,17089
2017-02-26,139038,237454,15022
2017-03-05,142858,161939,18348
2017-03-12,138467,157144,18700
2017-03-19,152539,156752,19725
2017-03-26,158589,150935,20053
2017-04-02,150611,159644,22582
2017-04-09,136194,164299,23358
2017-04-16,164061,178842,23776
2017-04-23,162810,163230,22772
2017-04-30,145243,162527,23984
2017-05-07,147251,357128,17251
2017-05-14,166017,223914,18081
2017-05-21,145487,205775,16549
2017-05-28,172557,175140,24390
2017-06-04,198732,179793,30183
2017-06-11,192092,212253,21885
2017-06-18,185316,198309,19386
2017-06-25,165524,173433,20678
2017-07-02,124816,182812,25203
2017-07-09,164107,267690,16221
2017-07-16,108384,207831,14611
2017-07-23,149314,353626,13389
2017-07-30,145887,313773,12961
2017-08-06,145451,211822,13542
2017-08-13,148506,198504,11830
2017-08-20,113450,324068,13425
2017-08-27,122874,379023,10440
2017-09-03,122403,165312,13836
2017-09-10,114530,167203,12806
2017-09-17,150992,156645,2422
2017-09-24,125320,161436,192
2017-10-01,114291,249373,198
2017-10-08,133463,140122,178
2017-10-15,126305,158787,711
2017-10-22,126274,238206,6360
2017-10-29,130556,226577,10872
2017-11-05,122061,320968,8618
2017-11-12,137872,269918,8942
2017-11-19,132242,196662,15425
2017-11-26,125916,171383,12038
2017-12-03,149815,325073,9270
2017-12-10,150701,330683,7680
2017-12-17,157024,154962,12155
2017-12-24,142027,171218,11714
2017-12-31,127053,355322,8951
2018-01-07,184830,292349,14102
2018-01-14,178992,323916,11964
2018-01-21,147298,233969,14834
2018-01-28,181752,215803,9804
2018-02-04,234985,468889,11698
2018-02-11,234996,251175,13754
2018-02-18,159851,197245,12930
2018-02-25,166753,254658,14153
2018-03-04,192776,258653,15527
2018-03-11,159389,205340,16599
2018-03-18,163394,260748,15484
2018-03-25,176287,222958,16541
